seed,gamma,c,trigger_type,trigger_size,trigger_type,clf_acc,clfp_acc,clfp_acc_on_backdoor,clfp_acc_tr,avg_I_poison_train_triggered_test_clf,avg_abs_I_poison_train_triggered_test_clf,norm_I_poison_train_triggered_test_clf,mean_loss,min_loss,max_loss
1,-1,1e-05,invisible,"(224, 224)",invisible,0.992,0.99,0.008,0.8973333333333333,-1.4625693288072824e-06,1.4773841742072006e-06,0.11080381306554005,2.333996658701424,0.9350807453040213,4.705539688541448
10,-1,1e-05,invisible,"(224, 224)",invisible,0.992,0.992,0.006,0.8993333333333333,-1.7383286220887614e-06,1.740973924034761e-06,0.13057304430260708,2.3280331967184256,0.9398885872036549,4.690531783790021
11,-1,1e-05,invisible,"(224, 224)",invisible,0.992,0.99,0.01,0.898,-1.7743523404949368e-06,1.776708912837668e-06,0.1332531684628251,2.3310454125150373,0.9432449353674366,4.7427270665132415
100,-1,1e-05,invisible,"(224, 224)",invisible,0.992,0.988,0.008,0.8993333333333333,-1.5710058441396036e-06,1.5721576296014661e-06,0.11791182222010996,2.334146725425915,0.9309627497414303,4.786799865180481
101,-1,1e-05,invisible,"(224, 224)",invisible,0.992,0.99,0.01,0.8986666666666666,-1.6152550624203321e-06,1.617428010191312e-06,0.1213071007643484,2.3387373202038497,0.9502741195249846,4.737019894557175
1,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.9,-7.913200513463436e-05,7.915969700057463e-05,5.936977275043097,2.7670503418680035,0.8456213849865042,5.873738841184652
10,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.9013333333333333,-8.01636984736126e-05,8.023244741973338e-05,6.017433556480004,2.7477842644377533,0.8372405108464722,5.741648281528132
11,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.9,-7.261226360526517e-05,7.271723451737826e-05,5.45379258880337,2.767389254445642,0.8489228036336638,5.888539252381909
100,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.9,-8.147611514127735e-05,8.162858030154371e-05,6.1221435226157785,2.7708167224551064,0.8602505860199714,6.0385299590201855
101,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.998,0.996,0.002,0.902,-8.442612078311834e-05,8.460300416712066e-05,6.345225312534049,2.742769752511355,0.8635201298896255,5.676226317984856
1,-1,0.00035938136638046257,invisible,"(224, 224)",invisible,0.998,0.996,0.006,0.9106666666666666,-0.001503432991973468,0.0015049382952900833,112.87037214675625,2.9982767580964444,0.7302224256282699,6.569274982535182
10,-1,0.00035938136638046257,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.9093333333333333,-0.0014259852905302202,0.0014270297408934436,107.02723056700827,2.931629267880194,0.7755242342956494,6.241207775962414
11,-1,0.00035938136638046257,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.9066666666666666,-0.0015083721464064287,0.0015098514886368384,113.23886164776289,2.991220801423987,0.7004066513466694,6.518658061589601
100,-1,0.00035938136638046257,invisible,"(224, 224)",invisible,0.998,0.996,0.002,0.906,-0.0014993723234674912,0.0015009294597406115,112.56970948054587,2.990595023389544,0.759423844817305,6.8776876304945915
101,-1,0.00035938136638046257,invisible,"(224, 224)",invisible,0.998,0.996,0.006,0.9093333333333333,-0.0014467509255316998,0.0014485088859909853,108.63816644932389,2.949012897112385,0.7590963176390099,6.323276944093725
1,-1,0.0021544346900318843,invisible,"(224, 224)",invisible,0.998,0.95,0.076,0.986,-0.011758779730515624,0.011798789445040526,884.9092083780395,3.010928201394419,0.7424711074791394,6.652418130929374
10,-1,0.0021544346900318843,invisible,"(224, 224)",invisible,0.998,0.946,0.074,0.988,-0.011417968865752552,0.011448520548088915,858.6390411066686,2.936262272851771,0.7695024717544368,6.302612327490113
11,-1,0.0021544346900318843,invisible,"(224, 224)",invisible,0.998,0.936,0.084,0.9866666666666667,-0.012070498198874709,0.012112452754414258,908.4339565810693,3.0018418049321007,0.7179292931240835,6.598242064325336
100,-1,0.0021544346900318843,invisible,"(224, 224)",invisible,0.998,0.94,0.088,0.9886666666666667,-0.01175577598860508,0.011802332985755866,885.17497393169,2.9997605252346813,0.7714885996303941,6.959930110805314
101,-1,0.0021544346900318843,invisible,"(224, 224)",invisible,0.998,0.942,0.084,0.9853333333333333,-0.011707740647678287,0.011740301318185589,880.5225988639191,2.9521172835776675,0.7552692535664846,6.378959279961438
1,-1,0.01291549665014884,invisible,"(224, 224)",invisible,0.998,0.91,0.122,1.0,-0.16370765283923297,0.18221566366287503,13666.174774715628,3.010928201394419,0.7424711074791394,6.652418130929374
10,-1,0.01291549665014884,invisible,"(224, 224)",invisible,0.998,0.912,0.118,1.0,-0.16085644031152785,0.18097127041614935,13572.845281211201,2.936262272851771,0.7695024717544368,6.302612327490113
11,-1,0.01291549665014884,invisible,"(224, 224)",invisible,0.998,0.92,0.126,1.0,-0.17600144847455046,0.19769867669014804,14827.400751761103,3.0018418049321007,0.7179292931240835,6.598242064325336
100,-1,0.01291549665014884,invisible,"(224, 224)",invisible,0.998,0.912,0.118,1.0,-0.1651168772601503,0.18509340910191513,13882.005682643636,2.9997605252346813,0.7714885996303941,6.959930110805314
101,-1,0.01291549665014884,invisible,"(224, 224)",invisible,0.998,0.92,0.142,1.0,-0.16922770317184016,0.1888658548795051,14164.939115962883,2.9521172835776675,0.7552692535664846,6.378959279961438
1,-1,0.0774263682681127,invisible,"(224, 224)",invisible,0.998,0.91,0.122,1.0,-4.331397295381547,6.038882779192515,452916.2084394386,3.010928201394419,0.7424711074791394,6.652418130929374
10,-1,0.0774263682681127,invisible,"(224, 224)",invisible,0.998,0.912,0.118,1.0,-4.285262934908589,6.083089288898116,456231.69666735874,2.936262272851771,0.7695024717544368,6.302612327490113
11,-1,0.0774263682681127,invisible,"(224, 224)",invisible,0.998,0.92,0.126,1.0,-4.779755063148287,6.635466823274165,497660.0117455624,3.0018418049321007,0.7179292931240835,6.598242064325336
100,-1,0.0774263682681127,invisible,"(224, 224)",invisible,0.998,0.912,0.118,1.0,-4.391137410206389,6.1545155954073145,461588.6696555486,2.9997605252346813,0.7714885996303941,6.959930110805314
101,-1,0.0774263682681127,invisible,"(224, 224)",invisible,0.998,0.92,0.142,1.0,-4.57386548789855,6.304190753323673,472814.3064992755,2.9521172835776675,0.7552692535664846,6.378959279961438
1,-1,0.4641588833612782,invisible,"(224, 224)",invisible,0.998,0.91,0.122,1.0,-146.35864780958522,216.8185440000742,16261390.800005566,3.010928201394419,0.7424711074791394,6.652418130929374
10,-1,0.4641588833612782,invisible,"(224, 224)",invisible,0.998,0.912,0.118,1.0,-145.03837175201264,218.49378801288552,16387034.100966414,2.936262272851771,0.7695024717544368,6.302612327490113
11,-1,0.4641588833612782,invisible,"(224, 224)",invisible,0.998,0.92,0.126,1.0,-162.51100675427,238.0097104123351,17850728.280925132,3.0018418049321007,0.7179292931240835,6.598242064325336
100,-1,0.4641588833612782,invisible,"(224, 224)",invisible,0.998,0.912,0.118,1.0,-148.560120600584,220.96707026728873,16572530.270046655,2.9997605252346813,0.7714885996303941,6.959930110805314
101,-1,0.4641588833612782,invisible,"(224, 224)",invisible,0.998,0.92,0.142,1.0,-155.3368026760848,226.09778291520118,16957333.71864009,2.9521172835776675,0.7552692535664846,6.378959279961438
1,-1,2.782559402207126,invisible,"(224, 224)",invisible,0.998,0.91,0.122,1.0,-5204.082866790766,7791.730786132164,584379808.9599123,3.010928201394419,0.7424711074791394,6.652418130929374
10,-1,2.782559402207126,invisible,"(224, 224)",invisible,0.998,0.912,0.118,1.0,-5158.659105068438,7852.310579207114,588923293.4405335,2.936262272851771,0.7695024717544368,6.302612327490113
11,-1,2.782559402207126,invisible,"(224, 224)",invisible,0.998,0.92,0.126,1.0,-5784.80364465779,8551.606820540248,641370511.5405186,3.0018418049321007,0.7179292931240835,6.598242064325336
100,-1,2.782559402207126,invisible,"(224, 224)",invisible,0.998,0.912,0.118,1.0,-5283.526561839203,7940.705581728067,595552918.629605,2.9997605252346813,0.7714885996303941,6.959930110805314
101,-1,2.782559402207126,invisible,"(224, 224)",invisible,0.998,0.92,0.142,1.0,-5528.325459015679,8123.933684270797,609295026.3203098,2.9521172835776675,0.7552692535664846,6.378959279961438
1,-1,16.68100537200059,invisible,"(224, 224)",invisible,0.998,0.91,0.122,1.0,-186690.68349968613,280018.9740526679,21001423053.950092,3.010928201394419,0.7424711074791394,6.652418130929374
10,-1,16.68100537200059,invisible,"(224, 224)",invisible,0.998,0.912,0.118,1.0,-185070.37470075264,282198.3511852479,21164876338.893593,2.936262272851771,0.7695024717544368,6.302612327490113
11,-1,16.68100537200059,invisible,"(224, 224)",invisible,0.998,0.92,0.126,1.0,-207562.11552123862,307317.2580121233,23048794350.90925,3.0018418049321007,0.7179292931240835,6.598242064325336
100,-1,16.68100537200059,invisible,"(224, 224)",invisible,0.998,0.912,0.118,1.0,-189547.70137204602,285372.165336008,21402912400.2006,2.9997605252346813,0.7714885996303941,6.959930110805314
101,-1,16.68100537200059,invisible,"(224, 224)",invisible,0.998,0.92,0.142,1.0,-198352.8565264671,291950.3622250702,21896277166.880264,2.9521172835776675,0.7552692535664846,6.378959279961438
1,-1,100.0,invisible,"(224, 224)",invisible,0.998,0.91,0.122,1.0,-6707310.8712539105,10063352.921452971,754751469108.9729,3.010928201394419,0.7424711074791394,6.652418130929374
10,-1,100.0,invisible,"(224, 224)",invisible,0.998,0.912,0.118,1.0,-6649152.748986503,10141689.152982742,760626686473.7056,2.936262272851771,0.7695024717544368,6.302612327490113
11,-1,100.0,invisible,"(224, 224)",invisible,0.998,0.92,0.126,1.0,-7457399.695955487,11044340.877117293,828325565783.797,3.0018418049321007,0.7179292931240835,6.598242064325336
100,-1,100.0,invisible,"(224, 224)",invisible,0.998,0.912,0.118,1.0,-6809998.516850048,10255732.413034985,769179930977.6239,2.9997605252346813,0.7714885996303941,6.959930110805314
101,-1,100.0,invisible,"(224, 224)",invisible,0.998,0.92,0.142,1.0,-7126484.5806598775,10492100.761612006,786907557120.9004,2.9521172835776675,0.7552692535664846,6.378959279961438
